numero_comprobante,fecha,tipo_comprobante,cuit_proveedor,razon_social,importe_neto,alicuota_iva
1004,2024-08-02,M,33-45678901-9,Sur SA,12258.78,0.27
1048,2024-08-03,A,30-66778899-4,Noroeste SRL,116827.66,0.27
1066,2024-08-03,A,33-45678901-9,Sur SA,80029.07,0.21
1031,2024-08-04,A,30-11223344-5,Puna SA,14060.81,0.27
1177,2024-08-04,M,33-45678901-9,Sur SA,90603.58,0.21
1241,2024-08-04,B,33-55667788-0,Altiplano SA,108154.46,0.27
1120,2024-08-05,B,33-88990011-2,Cordillera SA,106392.61,0.27
1139,2024-08-05,M,30-44556677-3,Valles SRL,49129.26,0.105
1150,2024-08-05,A,33-88990011-2,Cordillera SA,91182.29,0.0
1093,2024-08-06,M,33-45678901-9,Sur SA,76927.44,0.105
1115,2024-08-07,A,33-45678901-9,Sur SA,109750.06,0.21
1003,2024-08-08,A,33-45678901-9,Sur SA,89502.96,0.105
1206,2024-08-08,A,33-45678901-9,Sur SA,105689.18,0.21
1025,2024-08-09,A,30-71234567-8,Norte SRL,84380.45,0.21
1104,2024-08-13,A,30-71234567-8,Norte SRL,98972.71,0.21
1160,2024-08-13,B,30-98765432-1,Andes Coop,72376.27,0.27
1205,2024-08-16,M,30-66778899-4,Noroeste SRL,110382.23,0.21
1190,2024-08-17,A,30-44556677-3,Valles SRL,,0.21
1008,2024-08-18,A,33-45678901-9,Sur SA,29453.99,0.0
1052,2024-08-19,M,30-22334455-6,Quebrada SRL,106483.31,0.21
1080,2024-08-21,A,30-11223344-5,Puna SA,46854.89,0.27
1080,2024-08-21,A,30-11223344-5,Puna SA,46854.89,0.27
1085,2024-08-22,A,33-55667788-0,Altiplano SA,45681.35,0.105
1099,2024-08-22,A,30-44556677-3,Valles SRL,118763.76,0.105
1172,2024-08-22,M,33-88990011-2,Cordillera SA,31666.87,0.0
1222,2024-08-22,M,33-45678901-9,Sur SA,92368.46,0.105
1237,2024-08-22,A,30-66778899-4,Noroeste SRL,86127.98,0.27
1039,2024-08-24,M,33-55667788-0,Altiplano SA,33213.46,0.0
1130,2024-08-24,A,30-98765432-1,Andes Coop,89908.7,0.18
1214,2024-08-24,M,30-11223344-5,Puna SA,113740.03,0.0
1204,2024-08-25,M,30-66778899-4,Noroeste SRL,25471.51,0.21
1022,2024-08-26,B,30-66778899-4,Noroeste SRL,28011.99,0.21
1201,2024-08-27,M,30-98765432-1,Andes Coop,109690.09,0.21
1226,2024-08-31,A,30-66778899-4,Noroeste SRL,33276.68,0.27
1424,2024-09-01,B,30-22334455-6,Quebrada SRL,39308.91,0.0
1376,2024-09-02,A,30-71234567-8,Norte SRL,70932.96,0.105
1338,2024-09-03,A,30-66778899-4,Noroeste SRL,7969.42,0.0
1483,2024-09-03,M,30223344556,Quebrada SRL,59646.76,0.0
1310,2024-09-05,A,33-45678901-9,Sur SA,24607.63,0.27
1361,2024-09-05,A,33-88990011-2,Cordillera SA,51914.88,0.18
1416,2024-09-05,A,30-11223344-5,Puna SA,30164.94,0.27
1489,2024-09-05,M,33-55667788-0,Altiplano SA,67197.96,0.27
1352,2024-09-07,A,30-11223344-5,Puna SA,49956.86,0.27
1247,2024-09-08,A,30-71234567-8,Norte SRL,85525.23,0.0
1271,2024-09-08,A,33-88990011-2,Cordillera SA,65629.6,0.27
1258,2024-09-09,A,30-71234567-8,Norte SRL,10361.17,0.105
1461,2024-09-09,A,30-22334455-6,Quebrada SRL,106986.1,0.105
1357,2024-09-13,A,30-44556677-3,Valles SRL,21427.18,0.0
1323,2024-09-15,A,30-98765432-1,Andes Coop,56590.11,0.0
1428,2024-09-18,M,33-33445566-7,Humahuaca SA,119539.38,0.0
1487,2024-09-18,A,30-22334455-6,Quebrada SRL,89465.25,0.27
1488,2024-09-18,A,33-45678901-9,Sur SA,113516.01,0.105
1245,2024-09-19,A,30-11223344-5,Puna SA,41894.1,
